temp,weather,age,sex,height,weight,body_shape,style,label
23,2,39,2,160,57,2,2,12
20,3,55,2,160,59,2,1,1
32,2,58,2,155,63,3,2,14
21,2,42,1,177,68,2,1,6
25,1,38,2,160,53,2,3,9
34,2,33,1,161,56,2,2,15
28,1,46,1,179,76,2,2,8
31,1,31,1,183,86,3,2,8
25,1,36,1,187,83,2,2,11
22,3,44,2,159,54,2,1,1
34,3,37,2,161,64,2,3,10
26,2,65,2,164,56,2,3,9
21,1,35,2,158,59,2,1,1
21,1,55,2,161,61,2,3,3
27,3,39,1,172,73,2,1,5
27,1,62,2,157,55,2,2,8
27,2,41,1,173,57,2,3,10
21,3,53,2,163,43,1,3,9
23,2,28,1,177,95,3,3,3
23,3,32,2,161,52,2,2,11
29,2,52,1,179,81,3,3,10
29,1,38,2,161,58,2,2,14
25,3,27,1,178,57,1,1,6
35,3,20,2,162,57,2,3,4
28,1,28,2,160,54,2,1,7
30,1,63,2,160,55,2,3,10
20,2,29,2,168,62,2,1,1
25,1,40,1,179,57,1,2,11
32,2,51,1,164,75,3,1,5
24,2,51,1,169,57,2,1,6
27,2,20,2,163,54,2,2,13
27,3,29,2,165,50,1,3,4
25,1,32,1,179,66,2,3,3
20,3,21,1,181,94,3,3,3
29,3,29,1,181,70,2,3,10
24,3,21,2,163,39,1,2,12
29,2,54,2,156,56,2,2,15
31,2,26,1,175,85,3,3,10
24,1,38,2,161,54,2,1,1
20,2,47,1,174,78,3,2,16
32,3,58,1,179,73,2,3,10
26,3,32,2,154,56,2,2,11
33,2,54,1,174,72,2,3,10
25,3,50,1,179,80,2,1,6
24,1,22,1,168,88,3,1,6
24,3,60,1,167,54,2,3,3
34,3,59,1,171,57,2,1,5
25,3,36,2,165,49,1,2,11
34,1,61,1,168,62,2,1,5
22,3,56,1,176,82,3,1,6
25,3,60,1,177,58,2,3,3
28,1,35,1,167,56,2,2,17
29,2,39,1,170,55,2,3,10
34,3,42,2,157,46,2,1,7
34,3,63,2,162,42,1,2,13
25,1,48,1,167,65,2,3,3
21,2,25,2,165,51,2,1,1
29,2,21,2,163,59,2,3,4
29,3,64,2,157,60,2,1,7
26,2,33,1,183,75,2,2,16
25,1,50,1,170,64,2,2,16
34,1,36,1,180,68,2,1,5
31,3,31,1,180,83,3,1,5
35,2,25,1,170,58,2,2,15
33,2,65,2,166,42,1,3,4
35,2,26,2,162,59,2,3,10
21,3,41,2,168,59,2,3,9
28,1,32,2,146,51,2,1,7
30,3,27,2,162,61,2,2,8
26,3,51,2,163,57,2,2,12
32,2,23,2,165,47,1,1,7
32,2,53,2,164,46,1,1,7
22,1,35,2,160,49,2,3,9
25,1,58,2,155,52,2,2,11
23,3,37,1,183,69,2,1,6
26,2,53,2,163,48,1,2,12
28,3,20,2,152,49,2,2,17
34,3,31,1,173,76,3,1,5
33,3,65,1,171,73,2,3,10
34,2,42,1,177,68,2,3,10
22,1,52,1,166,81,3,1,6
30,1,20,2,161,54,2,3,10
23,2,39,2,166,55,2,3,9
25,3,62,1,175,74,2,3,3
26,2,39,2,159,40,1,1,1
21,2,34,2,156,49,2,2,11
30,1,49,2,147,54,2,1,7
29,2,31,1,171,64,2,3,10
29,3,48,1,170,72,2,1,5
33,2,58,1,181,97,3,3,10
28,2,61,2,157,57,2,1,7
32,1,36,2,152,51,2,2,14
32,2,28,2,159,45,1,3,4
33,1,41,1,171,71,2,3,10
35,1,63,1,174,60,2,2,8
34,1,56,1,182,86,3,3,10
33,3,28,1,163,79,3,3,10
32,3,48,2,157,56,2,3,10
25,3,20,2,157,65,3,2,16
21,1,61,2,162,60,2,2,16
24,1,36,2,163,62,2,1,1
29,3,44,2,158,42,1,3,10
24,3,63,1,181,83,3,1,6
30,3,33,1,167,83,3,1,5
35,3,36,1,176,76,2,2,8
20,3,56,1,165,57,2,2,11
24,3,23,1,168,62,2,1,6
21,1,54,2,161,58,2,3,3
34,1,48,2,157,50,2,2,8
32,2,35,1,192,86,2,3,10
20,2,52,2,154,65,3,3,3
34,1,39,2,167,59,2,3,4
22,2,36,1,170,81,3,3,3
32,1,22,1,171,83,3,3,10
27,3,40,2,160,54,2,3,10
25,2,51,1,170,71,2,3,3
28,2,55,1,174,81,3,1,5
31,1,25,2,165,66,2,2,8
30,2,30,2,161,65,3,3,4
21,2,54,2,168,44,1,3,3
20,1,53,2,162,55,2,1,1
24,2,38,2,163,50,2,3,3
20,1,24,2,164,60,2,2,16
28,3,31,2,163,49,1,3,10
23,2,23,1,171,55,2,3,3
34,2,24,2,162,58,2,3,4
26,2,63,2,165,62,2,1,1
24,1,30,1,178,66,2,2,16
33,1,23,1,182,83,3,1,5
26,1,31,1,172,81,3,2,11
28,3,40,1,183,87,3,2,17
30,3,39,1,175,59,2,2,8
33,3,52,2,158,50,2,1,7
28,3,64,2,166,52,2,1,7
33,1,31,1,176,85,3,3,10
35,2,41,2,157,56,2,1,7
24,3,61,1,164,77,3,2,16
23,2,25,1,183,69,2,3,3
32,1,58,2,156,53,2,2,14
33,2,24,1,172,79,3,1,5
35,1,43,1,175,55,1,2,8
27,2,29,1,172,89,3,3,10
29,3,26,2,159,53,2,2,17
29,1,44,2,152,51,2,3,4
27,2,34,1,172,69,2,3,10
23,1,40,1,178,75,2,2,16
22,1,64,1,174,66,2,2,11
29,1,52,2,165,69,3,2,14
24,2,45,2,166,61,2,2,11
21,3,53,2,157,46,2,3,9
33,1,30,1,177,69,2,1,5
21,1,38,1,163,61,2,2,11
31,3,20,1,184,69,2,3,10
20,1,65,1,175,74,2,3,3
34,1,39,2,166,60,2,1,7
31,3,30,2,151,56,2,3,4
30,3,48,1,170,62,2,3,10
20,3,62,2,159,53,2,2,12
27,2,55,1,179,72,2,1,5
33,1,37,2,160,36,1,3,10
25,1,39,1,175,73,2,1,6
28,2,63,1,177,76,2,3,10
24,2,23,2,162,50,2,1,1
26,2,48,1,180,94,3,2,16
28,3,57,2,157,75,3,3,10
32,1,44,2,162,62,2,1,7
29,2,49,1,176,64,2,2,13
28,1,34,1,171,68,2,1,5
35,3,63,2,163,52,2,3,4
25,2,26,2,158,52,2,1,1
28,3,23,2,160,52,2,3,10
29,1,60,1,175,77,3,3,10
22,1,53,1,179,67,2,2,11
20,3,49,1,167,80,3,1,6
32,2,53,2,157,46,2,3,4
33,1,39,1,174,79,3,3,10
28,3,59,1,174,53,1,1,5
31,1,29,1,186,83,2,2,8
32,1,24,2,166,65,2,1,7
29,1,40,1,177,74,2,2,17
30,2,57,1,162,60,2,1,5
22,2,34,2,154,49,2,1,1
29,1,56,2,165,41,1,2,8
35,2,53,2,168,56,2,2,13
26,2,57,2,162,50,2,1,1
35,3,37,1,162,74,3,2,8
30,3,57,2,167,58,2,1,7
24,2,37,2,162,45,1,1,1
31,2,58,1,178,67,2,1,5
34,1,28,2,161,58,2,3,10
20,1,29,1,171,71,2,1,6
20,2,35,1,178,57,1,1,6
22,3,56,2,161,52,2,3,3
26,3,37,1,179,59,1,2,16
31,1,35,2,156,47,2,1,7
28,3,59,1,173,76,3,2,8
33,3,38,2,161,54,2,3,10
25,1,21,2,159,58,2,1,1
27,3,24,2,165,47,1,2,17
33,1,41,2,156,46,2,1,7
34,3,24,2,163,42,1,1,7
33,1,28,2,153,49,2,3,10
34,1,63,2,163,62,2,1,7
22,2,56,1,175,85,3,3,3
22,1,42,1,175,68,2,3,3
24,2,55,2,157,47,2,2,16
21,2,26,1,174,69,2,3,3
20,3,32,2,160,57,2,1,1
32,3,21,1,171,96,3,2,8
23,1,33,2,162,74,3,2,11
30,1,33,2,160,51,2,3,4
25,2,54,2,162,50,2,2,16
20,1,51,2,156,63,3,3,9
34,2,49,2,158,53,2,2,15
27,2,60,2,166,45,1,1,7
21,1,21,1,183,61,1,1,6
23,1,27,2,161,55,2,2,16
27,1,24,1,178,89,3,1,5
27,2,41,1,175,78,3,1,5
22,2,63,2,154,48,2,1,1
30,2,33,2,157,65,3,2,13
32,1,25,2,150,42,2,1,7
35,3,33,2,166,61,2,3,4
20,2,38,2,160,55,2,3,9
20,3,54,1,173,85,3,2,11
24,1,48,2,158,54,2,3,3
21,2,62,1,180,81,2,1,6
28,3,22,1,182,63,2,1,5
20,2,47,1,167,63,2,1,6
20,3,26,1,178,84,3,3,3
33,1,48,1,183,67,2,1,5
25,3,59,1,173,58,2,3,3
34,3,36,1,171,69,2,2,8
26,2,23,1,174,73,2,3,3
21,3,32,1,182,77,2,1,6
23,3,41,1,173,83,3,2,11
34,2,53,2,159,71,3,2,15
34,1,55,2,163,71,3,1,7
29,1,41,1,175,92,3,3,10
30,3,52,1,188,82,2,3,10
30,3,48,1,176,73,2,3,10
32,2,32,1,172,65,2,1,5
27,2,47,1,174,57,2,3,10
21,2,56,2,165,65,2,1,1
28,2,65,2,154,45,2,3,4
20,2,33,2,158,57,2,1,1
21,3,41,2,162,56,2,2,12
28,3,51,2,155,61,3,2,13
31,2,39,2,160,51,2,2,13
28,1,21,2,161,44,1,2,2
35,2,43,2,162,48,1,1,7
24,2,40,1,175,68,2,1,6
34,2,65,2,158,50,2,2,13
24,3,22,2,156,46,2,2,11
30,2,33,1,166,73,3,1,5
20,3,22,1,171,75,3,2,16
27,3,31,1,179,62,2,3,10
33,3,60,2,151,63,3,1,7
26,3,41,1,174,103,3,2,11
28,2,45,2,154,51,2,3,10
32,1,50,2,165,55,2,2,13
34,3,31,2,156,44,1,3,10
35,1,62,2,154,63,3,2,8
27,3,35,2,164,58,2,2,13
20,3,65,2,155,52,2,3,3
23,2,51,2,162,57,2,3,3
32,2,61,1,187,67,2,1,5
28,2,57,2,164,53,2,1,7
24,1,44,2,158,47,2,1,1
25,2,20,1,174,67,2,2,11
25,2,36,2,160,57,2,3,9
29,1,50,1,172,71,2,3,10
30,1,51,1,175,63,2,2,17
26,1,55,1,175,82,3,3,3
31,1,54,1,172,81,3,3,10
27,2,36,2,154,55,2,3,10
32,1,49,1,167,71,3,3,10
22,3,21,2,166,47,1,1,1
27,1,52,2,151,50,2,3,10
22,2,21,2,163,50,2,2,16
33,3,45,1,169,65,2,1,5
27,2,32,1,178,69,2,3,10
21,3,33,1,168,75,3,3,3
31,2,52,1,171,79,3,2,13
25,3,35,2,159,43,1,2,11
30,3,65,1,178,64,2,3,10
32,2,21,2,153,56,2,2,13
26,1,56,2,156,46,2,2,11
32,2,44,2,161,63,2,2,14
30,3,35,1,176,82,3,3,10
25,2,51,2,163,48,1,3,3
33,3,26,1,180,69,2,2,8
32,3,55,1,175,56,1,3,10
29,2,49,1,180,62,2,1,5
23,2,31,1,170,86,3,2,16
24,2,60,2,156,54,2,3,3
25,1,63,2,159,50,2,2,11
22,2,21,1,179,85,3,1,6
31,2,43,2,158,58,2,2,14
33,1,46,1,168,93,3,2,17
25,1,38,1,180,81,2,1,6
35,1,28,1,178,67,2,3,10
35,1,64,2,157,58,2,3,4
33,2,44,2,163,61,2,1,7
24,2,33,1,179,73,2,3,3
35,2,26,1,183,75,2,2,15
28,3,64,1,175,54,1,3,10
20,2,20,2,161,63,2,3,3
25,2,37,1,168,79,3,2,11
34,3,63,1,178,81,3,2,8
31,3,61,2,157,46,2,1,7
28,1,31,2,165,48,1,2,8
32,3,30,2,159,53,2,1,7
35,2,65,1,182,80,2,2,15
20,3,38,2,160,53,2,2,12
33,1,40,1,170,53,1,2,17
30,3,40,1,171,57,2,2,17
25,1,59,2,150,46,2,3,3
22,1,26,2,154,52,2,3,3
21,3,49,1,170,72,2,2,16
30,1,62,2,163,45,1,3,4
32,1,20,1,174,80,3,3,10
32,2,51,1,177,80,3,2,13
25,1,23,1,177,79,3,2,16
30,1,28,1,160,75,3,1,5
30,2,35,1,165,67,2,2,13
32,3,34,2,154,52,2,1,7
20,3,42,2,171,65,2,3,3
33,2,58,2,162,46,1,1,7
30,2,47,1,177,70,2,3,10
35,2,33,1,170,68,2,1,5
21,2,43,2,159,60,2,3,3
30,3,38,1,172,92,3,3,10
27,1,25,1,180,98,3,2,17
26,3,47,2,161,45,1,3,9
34,2,40,2,152,41,1,3,10
32,2,43,2,166,56,2,1,7
28,1,60,1,172,61,2,2,8
20,1,21,1,179,65,2,2,11
28,1,37,1,187,71,2,3,10
25,3,38,2,158,55,2,2,12
30,2,21,2,165,52,2,1,7
29,3,22,2,165,55,2,2,17
25,2,50,2,156,68,3,1,1
29,1,33,1,181,65,2,1,5
22,2,25,1,180,62,2,1,6
30,3,48,2,163,50,2,1,7
27,2,53,1,177,78,2,1,5
30,2,23,2,162,71,3,2,15
32,2,51,1,182,65,2,3,10
34,3,53,2,164,70,3,2,14
22,2,43,1,169,76,3,3,3
25,3,35,1,177,65,2,3,3
22,1,27,2,167,55,2,1,1
22,1,48,2,161,56,2,1,1
22,2,24,1,176,77,2,3,3
31,1,57,2,164,56,2,2,14
31,1,39,1,169,86,3,2,17
30,3,55,2,163,53,2,3,4
23,3,50,1,171,81,3,3,3
25,1,57,1,176,81,3,2,11
23,3,25,2,161,49,2,3,9
25,2,28,1,181,69,2,1,6
21,1,41,1,185,69,2,2,11
32,1,39,2,158,54,2,3,4
24,2,55,2,156,53,2,1,1
24,1,32,2,158,54,2,2,16
34,3,61,2,166,47,1,2,8
27,1,54,2,167,59,2,3,4
23,3,28,1,172,69,2,1,6
30,1,36,2,163,45,1,3,4
31,3,48,2,160,55,2,2,14
32,2,58,2,154,59,2,1,7
35,1,54,2,172,60,2,1,7
35,2,60,2,162,67,3,1,7
26,3,30,1,174,72,2,2,11
28,2,57,2,160,65,3,1,7
34,3,52,1,178,56,1,1,5
27,1,38,1,182,87,3,2,8
34,1,53,2,155,49,2,3,10
24,2,22,2,158,47,2,3,3
33,2,56,2,154,41,1,1,7
27,2,33,1,176,88,3,1,5
24,1,30,1,178,70,2,1,6
28,2,65,1,180,70,2,3,10
32,2,27,2,166,50,1,1,7
22,2,46,1,178,72,2,1,6
28,1,28,2,163,54,2,3,10
26,3,30,1,173,92,3,3,3
22,3,31,2,153,48,2,1,1
23,1,34,1,188,78,2,1,6
35,2,31,1,173,63,2,1,5
34,3,64,1,177,65,2,2,8
33,3,49,1,173,58,2,2,8
20,1,65,1,171,48,1,2,16
26,1,53,2,162,48,1,2,11
30,2,35,2,155,68,3,1,7
27,1,34,2,158,42,1,2,8
33,3,37,2,155,44,1,2,8
31,3,58,2,160,43,1,2,13
24,1,47,1,186,82,2,3,3
26,2,31,1,166,67,2,3,3
28,2,65,2,161,45,1,2,15
21,2,47,2,156,52,2,2,12
31,3,38,2,155,55,2,1,7
23,1,30,1,185,64,2,1,6
25,2,35,2,152,49,2,2,12
31,3,52,1,184,72,2,1,5
22,1,42,1,179,71,2,2,11
33,3,58,1,164,58,2,3,10
28,3,36,2,160,58,2,2,13
26,1,53,1,176,91,3,1,6
30,2,23,1,175,85,3,2,15
33,1,50,1,175,69,2,3,10
35,2,45,1,173,62,2,2,13
35,2,28,1,184,77,2,1,5
23,3,57,2,170,47,1,1,1
32,3,52,1,177,59,2,1,5
26,1,20,2,153,49,2,3,9
32,2,62,2,153,56,2,2,15
34,2,23,2,162,54,2,3,10
27,2,36,2,164,63,2,1,7
20,2,28,1,182,91,3,1,6
22,2,22,2,167,49,1,1,1
24,3,35,2,168,60,2,3,3
22,2,44,1,172,77,3,3,3
30,1,37,1,165,73,3,3,10
27,3,36,2,162,59,2,2,8
22,1,41,2,159,56,2,1,1
24,1,20,1,170,76,3,2,16
20,1,25,2,161,54,2,3,3
31,1,23,1,175,77,3,2,17
26,1,52,2,162,61,2,3,9
35,1,24,2,156,45,1,1,7
27,3,37,2,163,55,2,2,14
32,2,47,2,168,46,1,1,7
34,1,41,2,154,59,2,2,8
33,3,42,1,181,83,3,1,5
30,3,46,2,157,54,2,1,7
22,3,65,2,148,42,2,3,3
35,3,46,1,183,100,3,2,17
33,2,29,1,172,68,2,1,5
20,3,46,1,175,71,2,2,16
31,1,38,2,165,48,1,3,10
26,2,24,1,178,64,2,2,16
32,3,37,1,186,73,2,2,8
25,3,43,2,159,47,2,1,1
26,2,31,2,166,48,1,3,9
27,1,49,2,165,57,2,3,4
32,3,49,1,178,74,2,3,10
35,2,65,1,174,79,3,3,10
22,1,23,2,156,55,2,1,1
24,3,39,2,165,43,1,1,1
33,1,21,2,160,51,2,1,7
31,1,63,2,154,50,2,1,7
21,3,24,1,163,88,3,2,11
20,3,43,2,164,54,2,3,9
27,1,49,2,156,68,3,3,4
30,1,48,2,159,55,2,1,7
21,1,20,1,174,58,2,2,11
20,2,63,2,156,68,3,1,1
23,1,50,2,160,47,1,1,1
32,2,49,1,175,65,2,3,10
24,2,27,2,170,56,2,2,11
32,2,54,2,160,57,2,3,10
24,2,33,1,176,59,2,3,3
26,2,21,2,164,60,2,1,1
25,2,46,1,173,73,2,2,11
33,2,22,1,180,59,1,1,5
21,2,33,1,172,63,2,2,16
32,2,58,1,187,69,2,1,5
20,3,31,1,176,79,3,2,16
24,3,60,1,169,82,3,3,3
26,1,46,1,177,87,3,1,6
32,1,59,1,171,82,3,2,8
20,3,54,2,162,67,3,3,9
24,3,52,1,167,65,2,3,3
27,2,45,1,183,81,2,1,5
31,1,25,2,164,59,2,1,7
22,2,50,1,176,68,2,2,16
32,2,40,1,179,61,2,2,13
27,3,58,1,180,80,2,2,17
35,1,36,1,175,75,2,2,17
23,1,36,2,165,43,1,1,1
34,1,45,1,175,59,2,1,5
23,3,40,2,169,49,1,2,11
35,3,37,1,174,81,3,3,10
30,2,59,2,164,46,1,2,15
28,1,51,2,164,42,1,1,7
26,2,30,1,171,71,2,1,6
24,1,54,1,168,56,2,2,11
31,1,49,1,186,71,2,2,17
28,1,37,2,150,41,1,3,4
23,3,62,1,177,63,2,3,3
28,3,21,2,164,65,2,3,10
31,3,55,2,163,70,3,2,13
22,3,28,1,175,59,2,1,6
21,1,60,1,177,69,2,2,16
23,3,49,1,181,92,3,1,6
21,1,24,2,159,61,2,2,11
32,3,36,2,167,73,3,1,7
30,2,58,2,151,58,3,2,13
35,1,44,1,179,65,2,3,10
27,2,50,1,167,59,2,2,13
32,3,56,1,169,71,2,2,8
32,1,40,1,164,69,3,2,17
26,2,57,2,160,56,2,3,3
32,1,34,1,169,81,3,1,5
27,2,43,1,178,63,2,2,15
23,3,29,2,162,48,1,3,9
33,1,59,2,148,62,3,2,14
30,3,57,2,163,43,1,2,14
20,2,26,2,155,67,3,2,16
22,1,65,2,165,57,2,1,1
33,2,34,2,162,61,2,2,13
22,2,26,1,174,58,2,2,16
21,2,63,2,169,47,1,2,11
35,1,35,2,153,47,2,2,13
32,1,27,1,181,81,2,2,17
35,1,64,1,184,82,2,1,5
29,3,20,1,187,63,1,3,10
33,1,42,1,176,65,2,3,10
35,3,41,1,165,60,2,2,8
28,3,42,1,184,82,2,1,5
23,1,43,2,157,60,2,3,9
20,3,63,2,158,54,2,3,3
27,1,30,1,183,76,2,3,10
35,2,40,1,183,76,2,1,5
24,2,52,1,180,58,1,1,6
23,3,51,2,165,54,2,3,9
26,3,27,2,165,49,1,3,9
30,3,51,2,156,51,2,3,10
30,1,59,1,161,72,3,2,8
26,2,65,1,175,81,3,3,3
25,1,47,1,172,88,3,3,3
22,3,30,1,167,67,2,3,3
32,3,57,2,157,38,1,2,14
23,3,46,1,166,61,2,3,3
20,1,58,2,155,53,2,3,9
22,2,31,2,163,50,2,1,1
28,2,41,1,181,82,3,1,5
31,2,54,2,152,44,2,3,4
30,3,31,2,156,64,3,2,17
31,2,50,2,166,61,2,2,14
26,1,65,2,155,48,2,3,3
27,3,39,1,173,76,3,3,10
22,2,61,1,172,79,3,3,3
27,3,29,2,162,49,2,3,4
29,2,47,1,177,85,3,3,10
21,3,36,2,159,62,2,3,9
31,1,59,1,179,73,2,1,5
27,3,35,1,165,62,2,2,8
28,2,47,1,171,71,2,3,10
27,1,27,2,165,75,3,3,10
26,3,58,1,172,61,2,2,11
34,2,49,1,180,61,2,3,10
27,3,56,1,179,82,3,3,10
21,1,22,2,166,52,2,2,16
27,1,36,2,154,51,2,2,14
35,1,57,2,162,53,2,1,7
24,1,44,2,160,54,2,1,1
21,2,61,2,159,51,2,3,3
22,2,61,1,164,67,2,2,11
34,3,21,2,166,57,2,3,10
29,3,55,2,148,58,3,1,7
28,2,34,1,183,78,2,3,10
21,3,61,2,160,52,2,3,3
26,2,38,1,178,70,2,1,6
30,3,38,2,164,56,2,3,4
28,2,64,1,185,66,2,2,13
34,1,42,2,163,53,2,2,8
20,1,49,1,184,83,2,2,16
22,2,28,2,159,54,2,2,16
33,2,42,1,173,86,3,2,15
33,1,65,1,171,67,2,2,17
29,3,37,1,180,82,3,1,5
27,1,26,2,164,42,1,1,7
31,3,46,1,167,67,2,3,10
28,3,33,1,178,75,2,1,5
21,3,25,1,170,50,1,2,16
27,3,48,2,156,66,3,2,14
28,1,40,1,172,65,2,3,10
20,1,50,2,165,59,2,2,16
30,2,43,1,174,78,3,3,10
27,3,21,2,160,54,2,1,7
23,3,27,2,161,48,2,3,9
35,1,46,1,172,74,3,2,8
25,2,49,2,160,42,1,3,3
22,3,50,2,166,52,2,3,3
20,2,53,2,162,53,2,3,9
23,2,28,1,173,87,3,2,16
